City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
287,khandyga,62.6667,135.6,1.91,97,100,2.22,RU,1694970135
288,conceicao do araguaia,-8.2578,-49.2647,39.85,16,0,3.47,BR,1694969942
289,lompoc,34.6391,-120.4579,21.03,74,40,3.09,US,1694970136
290,gebeit,21.0667,36.3167,33.61,22,61,3.36,SD,1694970136
291,dalianwan,39.0286,121.695,22.02,83,0,1.0,CN,1694970136
292,kovalam,8.3667,76.9967,28.05,83,75,0.0,IN,1694970136
293,nyurba,63.2842,118.3319,1.24,97,100,5.75,RU,1694970079
294,tchintabaraden,15.8969,5.7985,36.98,23,91,3.7,NE,1694970136
295,flying fish cove,-10.4217,105.6791,23.82,83,75,5.14,CX,1694970136
296,belmonte,-15.8631,-38.8828,26.71,60,35,4.08,BR,1694970137
297,kikvidze,50.7416,43.0518,18.1,43,97,3.11,RU,1694970137
298,yanbu,24.0891,38.0637,32.88,46,4,7.92,SA,1694970058
299,elliot lake,46.3834,-82.6331,17.31,58,79,2.98,CA,1694970137
300,migori,-1.0634,34.4731,18.63,89,68,2.62,KE,1694970137
301,westport,41.1415,-73.3579,26.38,54,0,3.09,US,1694970137
302,nova sintra,14.8667,-24.7167,22.64,73,20,5.45,CV,1694970137
303,minas de marcona,-15.2119,-75.1103,19.51,60,75,4.64,PE,1694970137
304,dudinka,69.4058,86.1778,3.47,78,100,4.28,RU,1694970138
305,puerto carreno,6.189,-67.4859,32.88,55,100,1.34,CO,1694970138
306,malakal,9.5334,31.6605,26.49,69,27,0.71,SS,1694970138
307,kuta,-8.7233,115.1723,25.0,94,40,3.13,ID,1694970138
308,tahoua,14.8888,5.2692,34.51,39,100,2.78,NE,1694970138
309,pocahontas,36.2615,-90.9712,27.14,49,0,3.09,US,1694970138
310,naze,28.3667,129.4833,25.49,83,93,3.39,JP,1694970139
311,sumenep,-7.0167,113.8667,26.45,78,48,5.25,ID,1694970139
312,zhangye,38.9342,100.4517,15.98,35,15,0.79,CN,1694970139
313,xiva,41.3783,60.3639,17.99,26,0,4.3,UZ,1694970139
314,tura,25.5198,90.2201,24.78,88,37,1.44,IN,1694970139
315,greystones,53.1408,-6.0631,15.49,82,98,2.01,IE,1694970140
316,bubaque,11.2833,-15.8333,27.97,74,82,4.07,GW,1694970140
317,colonia,50.9333,6.95,27.76,57,20,1.54,DE,1694970069
318,grand falls-windsor,48.9332,-55.6649,21.95,74,29,1.79,CA,1694970140
319,conceicao da barra,-18.5933,-39.7322,27.05,60,39,4.24,BR,1694970140
320,sodra sandby,56.5667,16.6167,15.92,84,32,6.19,SE,1694970140
321,cabo san lucas,22.8909,-109.9124,34.23,71,0,1.79,MX,1694970140
322,krasnogorskiy,54.6025,61.231,12.58,69,17,0.8,RU,1694970141
323,new plymouth,-39.0667,174.0833,12.4,91,82,8.6,NZ,1694970141
324,san julian,21.0167,-102.1667,23.08,43,47,3.35,MX,1694970141
325,quellon,-43.1167,-73.6167,7.76,70,17,3.1,CL,1694970141
326,nivala,63.9167,24.9667,9.27,93,93,4.96,FI,1694970141
327,pechora,65.1472,57.2244,5.08,92,81,0.81,RU,1694970141
328,carboneras,37.0015,-1.9213,26.29,61,93,8.35,ES,1694969945
329,biao,7.1633,125.5211,23.37,90,99,1.54,PH,1694970142
330,taroa,8.7058,171.2275,26.84,86,100,5.79,MH,1694970142
331,mulanje,-16.0316,35.5,27.81,26,0,2.21,MW,1694970142
332,kuruman,-27.4524,23.4325,18.88,15,1,1.66,ZA,1694970142
333,tateyama,34.9833,139.8667,27.83,86,3,5.86,JP,1694970142
334,cockburn town,21.4612,-71.1419,30.98,62,40,2.57,TC,1694970142
335,afua,-0.1567,-50.3867,34.42,43,17,4.73,BR,1694970142
336,bonthe,7.5264,-12.505,27.22,76,99,4.92,SL,1694970142
337,luwuk,-0.9516,122.7875,23.71,87,89,2.47,ID,1694970142
338,llaillay,-32.85,-70.9667,14.37,73,100,2.88,CL,1694970118
339,cannonvale,-20.2833,148.7,20.66,81,17,6.13,AU,1694970143
340,caluula,11.9661,50.7569,31.21,67,92,2.12,SO,1694970143
341,leava,-14.3,-178.1667,27.22,74,28,9.79,WF,1694970143
342,bay roberts,47.5999,-53.2648,25.84,77,72,3.13,CA,1694970143
343,keflavik,64.0049,-22.5624,10.24,66,75,6.17,IS,1694969906
344,antsiranana,-12.2787,49.2917,23.82,76,26,6.03,MG,1694969946
345,rosarito,32.3333,-117.0333,21.38,70,85,3.5,MX,1694970144
346,vadso,70.0744,29.7487,6.49,87,75,4.63,NO,1694970144
347,benidorm,38.5382,-0.131,28.1,52,61,1.24,ES,1694970104
348,turpan,42.9333,89.1667,24.06,28,86,1.67,CN,1694970144
349,mirnyy,62.5353,113.9611,1.21,78,100,5.11,RU,1694970145
350,antonio enes,-16.2325,39.9086,24.84,81,2,6.15,MZ,1694970145
351,kununurra,-15.7667,128.7333,16.99,77,32,2.06,AU,1694970145
352,trujillo,-8.116,-79.03,22.77,72,93,4.36,PE,1694970079
353,aras-asan,8.8908,126.3033,25.56,88,73,0.95,PH,1694970145
354,chernyshevskiy,63.0128,112.4714,0.9,73,100,4.58,RU,1694970145
355,berezovo,63.9381,65.0419,9.98,76,100,5.36,RU,1694970014
356,kousseri,12.0769,15.0306,23.6,77,73,11.1,CM,1694970146
357,kirensk,57.7853,108.1119,8.48,96,38,1.44,RU,1694970146
358,crane,31.3974,-102.3501,26.17,48,28,2.45,US,1694970146
359,woodhaven,42.1389,-83.2416,23.4,58,40,2.57,US,1694970146
